traditional funeral feast for the dead,bìki
name given to child of a woman who cannot rear children,bikṹ
nupe tribal mark,bikṹ
female goat,bíkungi
salutation for a judge,bìlàhákì
whip,bílàlá búlálà
to be of a bad or ugly character,bili
raw,bimbiri
transverse clarinet made of a guinea-corn internode,bínãkũ̀
base | mean act | a dirty trick,binã́kṹ
drum made from a very large gourd,bíndì
fire-arm of any description,bindiga
very large black evil-smelling ant,bindigakó
sandfly,bǐngi
small bottle-gourd,bingi
sweat-fly | tiny wild bee and its honey,bìnì
eyelash,binì
loose joint (elbow or knee),binì
nupe sub-tribe,bìni
child presented feet first at birth,bini
hot (applied to liquids),bipa
giddily | dizzily,bíríbírǐ
dimly,bìrìbìrǐ
brake (cycle or car),bìrìkí
raft-zither,bísã
coarse swamp grass used for zana mats,bìsã
truly,bìsà
forest grass (horse feed),bìsãbì
fish species,bisã̀gi
fowl,biʃe
black moorhen,biʃegi nuwã
prairie hen,biʃegi gónta
salutation for the rank nã́già,bìʃí
to ruminate | to chew cud,bìta
notched end of an arrow,bita
sharp pointed dagger,bǐtì
to be ugly (in features),biyé
buttocks | stock | base | bottom | substance | root meaning,biyé
stalk (of a leaf or fruit),biyégi
bare buttocks,biyékã́
anus,biyé làkò
to graze (the skin) | to pick (a bone),bó
place,bo
to be tired | weary | exhausted | fatigued,bo
to be under-cooked | under-done,bo
to save (used with compounds),bò
to knead | to make (as porridge),bò
to become pulped,bò
to seize by force | to confiscate,bò
question particle (end of a question),bô
bother | worry | trouble,bobo
fish species,bobogi
wide (as a leaf),bǒbǒgi
tender (not tough),bòbóngi
very white,bóbônyǐ
smacking sound,bǒbǒnyí
doctor | medicine man | salutation for mallams,bǒci
charge | complaint | accusation,bǒda
very large,bodabodanyi
cryptic | hidden | reverse side | inside out,bòdì
tree species (forest),bǒdò
small shrub used for medicine,bǒdòbági
tender (immature),bodongi
porridge cooked before sauce is made,bòdzò
tree with very large leaves,bǒdzwǎgi
verdict | judgement | decision | sentence,bǒgá
small,bogangi
to pluck maize before maturity,bògi
lazy person,bò gǐ n lele n ci
under-cooked | dull | unintelligent | clumsy,bokì
gossip,bǒko
tree species,bokoci
very white,bókpáyí
heel,bòkũ̀
white,bókũ̀
salutation given to wùnkóʒì,bòkúʒì
silver catfish,bòlǎ
sin | fault | offence,bǒlá
weakness | feebleness,bòlà
urine,boli
smooth,bòlǒ
beautiful | nice | fine | pretty,bóló
beauty | prettiness,bǒló
imaginary sickness,bòlǒbòlǒ
very smooth,bòlǒbòlǒyi
salutation for a woodcarver,bò 'lú le 'bà
grass corn sack or bag,bòmã̀
enamel pudding dish,bómã́fǎ
no wonder | it is not surprising,bómã́jĩ
viscous (like water mixed into porridge),bombo
very white,bómbónyí
to degrade | to depose,bòmì
to curse,bómi
reddish like animal fur,bonda
very large,bondabondayi
food prepared from crushed corn,bondo
yam cultivar,bondzúrúgi
grass used for fibre trays,bondzwagi
tender,bòngi
loofah,bongi
trouble,bǒnì
vine species,bǒnù
to seize,bònyã
very white,bónyí
very white,bônyǐ
smacking sound,bǒnyí
ecstatic cult dance of the hausa,bòri
locust,bòrò
empty,boro
knife with a single cutting edge,bòròfo
blanket,bòrògo
field grass (horse feed),bòrògǒgi
nomadic fulani,Bòròro
disease with swelling of abdomen,bòròwã
rank among the etsu's attendants,Boruwa
hard grain of rice that will not soften in cooking,boruwa
to cook | to keep house,bòʃè
cheating | unlawful gain,bòʃí
grass used to make contraceptive medicine,bota
nonsensical | foolish (talk),bótebòtenyí
to hold in subjection | to rule despotically,bòtídã
owner,bǒtsǒ
hawkers' cry for lábòwǒ cooked porridge,bòwǒkpǎ
to be dull | heavy | slow | sleepy eyed,boyé
love,bǒyé
to be too much for,bòyé
meanness | closeness | miserliness,boyédìn
covetousness,boyéfà
marvellous | wonderful | astonishing,boyěka
to invoke evil upon,bú
bubbling sound (water entering a bottle under water),bǔbǔnyí
earthworm,bubwõrwõ
straight iron rod used by weavers,bubwõrwõ
private work | business | job,bùcá
name for mallams of very little learning,búdê
field grass used for horse feed,bǔdègi
very big,buduyi
wide,bùgà
grass used to make zana mats,bùgã̀(nã̀)
quickly | hurriedly,bùgùyi
rank among the kyadya,Bǔka
business | work,bùkáta
hunchback | tumour on the back,bukiá
to invoke evil upon,búkútí
cheap gown unembroidered,bǔlà
whip,búlálà
grey chalky clay,bulià
drumming by women on an upturned calabash at weddings,búmbúm
solid | sealed | compact,bùmbunukũ̀ bùmburukũ̀
tree sap,bunú
dark blue cloth worn by women,bùnǔ
quickly,bùnyǐ
bread,bùréèdì
fish species,burò
wide-mouthed water pot (short neck),bùrù
round | spherical,buru
milk-twirling stick (yoghurt),burugà
nose bag for animals,burugamì
very long (as a garment),bùrùyǐ
local spiced beer,buruzàgi
quickly | hurriedly,cǎcǎnyí
clean,cácányí
to despise,cáfyà
flint-lock gun,cákáfùrà
gravel | ballast | used to floor houses and courtyards,cákyá
sound made by a rattle,cakyacakyayǐ
all over | everywhere | as a rash on the body,cákicàkiyi
bad luck | misfortune,càkú
blessing,cami
swollen | puffed,campugǐ
jingling sound made by money,cancanyí
indigo dye,cancàrià
large iron spike | nail,cári
rank among native princes,cáta
one omitted | forgotten | overlooked,cã̌
method of cooking in thick sauce,cã̌ gicã̌ gi
sodden | muddy | dirty,cã̀kyã̀
small | tiny,cã́nyã̀gǐ
small | tiny,cã́ryã̀gǐ
to throw | cast | fling | toss | swing | kick | shoot | fire,cé
to come around (as another year),cé
to bear (fruit),cé
to make up into a bag,cé
to fight,cé
to tie up | truss (grass),cé
to be beyond | too big for | too much for,cé
to continue,cé
to pass on | forward in relays,cé
rank among native princes,cêcèkó
prickly heat,cecengi
tree species,cedia
to get ahead by shortcut,cédzũ̀
back-biting | double-dealing,cegèra
salutation for rank cáta,céginã́sũ̀
design in embroidery,cé gṹ n 'fo
to avoid by turning aside,céká
to wander | stroll about,cékà
sediment | grounds | precipitate,cèki
to do several things at once,cekírí
rank among native princes,cékpa
salutation for rank gídégi,cékpa gí bòʃí
quickly,cékpárá
deadly poison,cékperí
bush grass,cékpòtũ
to be marked with weals | gnarled,cé kpòtũ
unripe oil palm nut,céndzũ̀
change (money),cénjì
rice,cènkafa
grass species (horse rice),cènkafa doko
poison,cèrě
dare,Cèrě
etsu's executioner,cété
kindness,cèto
seat,cetsũ̀
to swell up,cétú
to trade | barter | bargain | price a thing,cèwò
salutation for rank nã́gènǔ,cèwò bè Allah nyi
to assist | help | aid | defend,cewú
child whose mother dies at birth,Céyagi
to be neglected | overlooked,céyé
flax (for weaving nets),cèyì
under-cooked,cí
and,ci
very many,cìcìcìcìyǐ
salutation for rank sabo,cigã̌ mã̀
tree | wood | post | stick | block,cigbã̀
medicine | remedy | drug | charm,cigbè
rank among warriors,cìgô
purposely | intentionally,cìkà cìkàcì
shavings | chips,cikara
embers | cinders,cikárá
wilderness | desert | bush,cikã́
dense | close,cìkì
in confusion | in a tangle,cíkicìkiyi
value | worth | equivalent,cíko
large | bulky | swollen,cikpuyǐ
to descend | drop | alight,cin
to propound a riddle,cin
to love,cin
to clarify,cin
to fry (food),cin
to miss | lose,cin...bo
grass species,cincèrè
love,cincin
to sneeze,cíncín
small ceremonial chain,cíndzã̀nã̀
fish net,cìndzã̀wõn
cluster of bananas,cìnga
pounded yam,cingini
cold | fever,cíngũ̀
britannia metal,cìnkâ
horse disease,cínká
precipice,cínlà
behold | look | examine,cinlě
large cricket,cĩni
to rest | be still | subside,cínta
tail,cintàrà
greatness | respect | glory,cínwṍn
honourable person,cínwṍnci
small | minute,cìrǐ cìrìgǐ
large | immense | huge,círìgì
to begin | commence,cyà
beginning,cyancya
to be soft,dá
to set | to fix | to specify,dá
to measure (salt),dá
to carry for | to relieve of,dá
verb used with gará (robbery),dá
to sway | to swing,dá
to mix | prepare (dye),dá
to make | to become (friends),dá
to commit adultery,dá
to lower | to press down,dá
to go | proceed | depart | advance,da
to be damp | wet | brew | soak,da
to make (as two and two make four),da
to measure (material for a loom),dà
to be poor | weak,dà
if (conjunction),dà
beast | animal | brute,dába
to lower,dába
to make a formal visit of condolence,dábǎ
large ringed dove,dàbà
to make a complaint | to go to law,dabó
bird about the size of a dove,dabógi
to be worn out,dábù
great distance,dàda
quickly,dàdà
much | plenty | immense | abundant,dadada
salutation for rank nã́kòji,dàdà wu dzòdzò
to be cool,dá 'fè
battle field | line of battle,daga
swayingly | staggeringly | unsteadily,dàgǎdàgǎyi
to rob | plunder,dágará
elephant,dagba
salutation for rank lakpiã́niã́,dagba dã 'ya à
tree species,dagba pàmbo
fool,dagi
sudden | suddenly,dǎgìrǐ
ladder | steps | stairs,dàgũn
to push with the hand,dàgwa
to stop | to leave off,dágwa
to thank | to prostrate,dájĩn
disease among horses,dákà
describes people carrying something extra large,dákàdákà
to sit tailor-fashion / knees up,dákàkà
infantry | swordsman,dàkarè
very (much),dǎkàsa
coverless | lidless,dǎkã
small hoe made for the Yoruba,dákã́gi
mona monkey,dǎkò
to thank | to prostrate,dákpià
wide bladed hoe used for weeding,dàmpara
inferiority,damã
large | big | swollen,dambò
very (much),dàmbùyǐ
waistcoat | vest,dànciki
brown and white horse (marking),dànda
bird species,dandakarègi
pauper | tramp | vagrant,dàndàlúkúgi
locust-seed preparation (daddawa),dàndawa
sea catfish (fish species),dandù
much | plenty,dángà
breast-band for horses | martingale,dangàba
large water-pot,dangàrà
cat,dàngi
mischief,dàngida
small thorny plant,dangòro
very (much, great),dángùʃia
salutation common to many ranks,daniyã̀
game played with stones,dantáʃi
to commit adultery,dányã̀ci
deficient | lacking,dànyãdànyã
tamarind fruit,dará
malt,dara
design in embroidery,dárà
long | very long,dàrà dàràgi
shrub/bush (does not mature to wood),darábági
tamarind tree,daráci
cup | mug | jug | kettle,dáro
again (time adverb),da...re
many | plenty | great quantity,dásáyí
